TotalCharges,Month-to-month,One year,Two year,PhoneService,tenure
5502.55,0,0,1,1,69
1782.4,1,0,0,1,20
851.8,1,0,0,1,11
167.5,1,0,0,1,2
502.85,1,0,0,1,6
19.85,1,0,0,1,1
1818.3,0,1,0,1,20
6300.15,1,0,0,1,61
334.8,1,0,0,1,5
5916.95,1,0,0,1,56
2852.4,1,0,0,1,30
4131.95,1,0,0,1,40
1546.3,0,1,0,1,28
302.6,1,0,0,1,5
1929.35,1,0,0,1,27
265.45,1,0,0,1,12
6989.45,0,1,0,1,67
1442.0,1,0,0,1,29
4713.4,1,0,0,1,55
1758.6,1,0,0,1,23
3480.0,1,0,0,1,34
4738.3,0,1,0,1,52
8399.15,0,0,1,1,72
5430.35,0,1,0,1,58
686.95,0,0,1,1,35
5706.3,0,0,1,1,56
490.65,0,0,1,1,24
1360.25,0,0,1,1,70
174.45,1,0,0,1,2
7379.8,0,1,0,1,68
85.0,1,0,0,1,1
1021.75,1,0,0,1,12
5029.05,1,0,0,1,63
1955.4,0,1,0,1,33
6744.2,0,1,0,1,69
4946.7,0,0,1,1,60
8248.5,0,0,1,1,72
601.6,1,0,0,1,11
19.55,1,0,0,1,1
834.1,1,0,0,1,10
597.0,1,0,0,0,13
2647.2,0,1,0,1,34
3266.0,1,0,0,1,39
6744.25,0,1,0,1,65
5265.5,0,1,0,1,50
311.6,1,0,0,1,15
7966.9,0,0,1,1,72
8220.4,0,0,1,1,72
1153.25,0,0,1,1,55
514.75,0,0,1,1,23
2596.15,1,0,0,1,32
3808.0,0,1,0,1,56
19.9,1,0,0,1,1
2708.2,0,1,0,1,38
760.05,1,0,0,1,11
49.3,1,0,0,1,1
6033.3,0,1,0,1,56
89.05,1,0,0,1,3
516.15,1,0,0,1,7
5861.75,0,0,1,1,59
445.95,1,0,0,1,7
4973.4,0,0,1,1,71
1667.25,0,1,0,1,15
5357.75,0,0,1,1,71
3527.6,1,0,0,1,35
422.6,0,1,0,0,11
1103.25,0,0,1,1,60
2754.0,0,0,1,1,47
697.25,0,1,0,1,11
5614.45,0,1,0,1,56
3204.4,1,0,0,1,28
4747.65,0,0,1,1,61
3082.1,0,1,0,1,31
597.9,1,0,0,1,9
3365.4,1,0,0,1,35
38.8,1,0,0,1,2
233.55,1,0,0,1,12
75.3,1,0,0,1,1
346.2,1,0,0,1,4
19.0,1,0,0,1,1
61.7,1,0,0,1,3
85.7,1,0,0,1,1
3342.45,0,0,1,1,52
85.1,0,1,0,1,5
7422.1,0,0,1,1,72
6668.05,0,0,1,1,71
8071.05,0,0,1,1,72
1174.8,0,1,0,1,46
5435.0,0,0,1,1,63
2438.6,1,0,0,1,30
45.6,1,0,0,1,1
713.75,1,0,0,1,12
916.15,0,0,1,0,16
237.2,1,0,0,1,4
4614.55,0,1,0,1,51
1414.45,0,0,1,1,65
1170.5,1,0,0,1,16
47.7,0,1,0,1,2
4859.25,0,1,0,1,66
4903.2,0,0,1,1,46
3608.0,0,1,0,1,32
6094.25,0,0,1,1,72
3084.9,0,0,1,1,38
2356.75,0,1,0,1,51
8306.05,0,0,1,1,72
6786.4,1,0,0,1,65
248.95,1,0,0,0,9
663.05,1,0,0,1,9
1357.1,0,0,1,1,66
4860.35,0,1,0,1,44
3418.2,0,0,1,1,50
631.4,1,0,0,1,15
186.3,1,0,0,0,8
6976.75,0,1,0,1,66
4884.85,1,0,0,1,57
522.95,1,0,0,1,7
362.6,1,0,0,0,10
5755.8,0,1,0,1,62
3355.65,0,1,0,1,40
406.95,0,0,1,1,20
137.6,1,0,0,1,7
2395.7,1,0,0,1,25
1968.1,1,0,0,1,23
6819.45,0,1,0,1,66
7943.45,0,0,1,1,72
4547.25,1,0,0,1,49
4687.9,1,0,0,1,43
2473.95,1,0,0,1,46
6562.9,0,0,1,1,72
176.3,0,1,0,1,10
2236.2,0,1,0,0,40
6985.65,1,0,0,1,65
3109.9,0,0,1,1,31
4911.35,0,0,1,1,68
5794.65,0,1,0,1,56
855.3,1,0,0,1,10
1620.2,0,0,1,1,68
2499.3,1,0,0,1,43
89.55,1,0,0,1,1
4287.2,0,1,0,1,49
394.85,1,0,0,1,15
1899.65,1,0,0,1,20
45.7,1,0,0,1,1
3442.15,0,1,0,1,50
161.5,1,0,0,1,2
1732.6,1,0,0,1,24
222.3,1,0,0,1,3
74.6,1,0,0,1,1
655.3,0,0,1,1,35
475.25,1,0,0,1,17
164.3,1,0,0,1,8
865.1,1,0,0,1,10
6132.7,0,0,1,1,68
3597.5,0,1,0,1,45
35.9,0,1,0,1,2
697.65,1,0,0,1,37
96.05,1,0,0,0,4
428.7,1,0,0,1,10
20.05,1,0,0,1,1
4459.15,0,0,1,1,65
1167.6,0,0,1,1,57
238.1,1,0,0,1,3
145.15,1,0,0,1,2
1453.1,1,0,0,0,49
191.05,1,0,0,1,4
4039.3,0,0,1,0,70
1039.45,0,1,0,1,53
1336.1,0,0,1,1,53
75.05,1,0,0,1,1
493.4,1,0,0,1,22
2550.9,1,0,0,0,52
7246.15,0,0,1,1,65
1203.95,0,1,0,1,48
62.25,1,0,0,0,2
313.6,1,0,0,1,3
3775.85,1,0,0,1,45
80.0,1,0,0,1,1
4616.05,0,0,1,1,61
195.65,1,0,0,1,3
4188.4,0,1,0,1,40
71.1,1,0,0,1,1
49.9,1,0,0,1,1
1266.4,0,1,0,1,51
91.1,1,0,0,1,2
1623.4,0,1,0,0,52
4149.45,1,0,0,1,51
20.45,1,0,0,1,1
2344.5,0,1,0,1,31
1013.05,0,1,0,1,47
270.7,1,0,0,1,3
417.0,0,1,0,1,22
20.65,1,0,0,1,1
6316.2,0,0,1,1,72
168.15,1,0,0,1,3
4018.05,0,1,0,1,47
4811.6,0,0,1,1,72
4189.7,0,0,1,1,66
2848.45,1,0,0,1,35
2516.2,1,0,0,1,29
33.6,1,0,0,1,2
208.45,1,0,0,1,4
2015.35,1,0,0,1,25
3739.8,0,0,1,1,65
2964.0,0,1,0,1,27
2263.4,1,0,0,1,29
2211.8,1,0,0,1,29
19.55,1,0,0,1,1
1683.7,1,0,0,1,20
1519.0,0,0,1,1,58
1164.05,1,0,0,1,14
1710.9,0,0,1,1,72
4245.55,1,0,0,1,46
4145.9,0,0,1,0,71
2664.3,1,0,0,1,32
1277.5,1,0,0,0,26
5589.3,1,0,0,1,68
34.75,0,1,0,1,2
1305.95,0,0,1,1,61
381.3,1,0,0,1,4
141.5,1,0,0,1,3
3105.55,1,0,0,1,33
204.55,1,0,0,1,9
605.9,0,0,1,1,22
356.1,1,0,0,1,5
2758.15,1,0,0,1,30
4805.65,0,0,1,1,65
3941.7,1,0,0,1,45
92.75,1,0,0,1,5
1901.05,1,0,0,1,25
5730.7,0,0,1,1,72
2423.4,1,0,0,1,27
1653.45,1,0,0,0,32
3327.05,0,1,0,1,30
7085.5,0,0,1,1,70
3344.1,1,0,0,1,42
6697.35,0,0,1,1,72
2879.9,0,0,1,1,47
137.1,1,0,0,1,2
1008.55,1,0,0,1,10
1551.6,0,0,1,1,61
202.15,1,0,0,1,5
7882.25,0,0,1,1,72
8196.4,0,0,1,1,72
202.9,1,0,0,1,3
855.1,0,0,1,1,48
5817.0,0,1,0,1,63
1652.95,1,0,0,1,27
5600.15,0,0,1,1,70
515.75,1,0,0,1,7
2279.0,0,0,1,1,0
190.5,1,0,0,1,2
1842.8,1,0,0,1,20
1253.8,0,0,1,1,66
57.2,1,0,0,1,3
1269.55,1,0,0,1,15
6563.4,0,0,1,1,72
20.8,1,0,0,1,1
1907.85,1,0,0,1,22
208.85,1,0,0,1,3
4758.8,0,0,1,1,72
1292.6,0,0,1,1,65
363.15,1,0,0,0,11
1600.25,1,0,0,1,22
275.7,0,1,0,1,14
3089.1,1,0,0,1,41
1175.6,0,1,0,1,17
237.3,1,0,0,1,11
1444.65,1,0,0,1,15
19.9,1,0,0,1,1
454.15,1,0,0,1,5
3036.75,0,1,0,1,33
8065.65,0,0,1,1,72
92.5,1,0,0,0,3
184.65,1,0,0,1,2
6152.3,0,1,0,1,59
89.5,1,0,0,1,2
5154.5,0,0,1,1,71
220.45,1,0,0,1,5
1510.3,1,0,0,1,27
52.2,1,0,0,1,1
2588.95,0,1,0,0,63
4874.8,0,1,0,1,46
3983.6,0,0,1,1,72
2003.6,1,0,0,1,34
1832.4,0,1,0,1,24
4908.25,0,0,1,1,72
3590.2,0,0,1,0,60
5023.0,0,1,0,1,68
146.6,0,0,1,1,8
2339.3,0,0,1,1,34
298.7,1,0,0,0,6
143.65,1,0,0,1,2
2548.65,0,1,0,1,31
507.4,1,0,0,1,20
20.0,1,0,0,1,1
6125.4,0,1,0,1,62
5411.4,0,0,1,1,70
1058.25,1,0,0,1,10
903.8,0,0,1,1,39
3009.5,0,0,1,1,46
489.45,1,0,0,1,6
5468.45,0,0,1,1,72
1058.1,1,0,0,1,18
7616.0,0,0,1,1,71
4113.1,1,0,0,1,40
69.55,1,0,0,1,1
6017.65,0,1,0,1,58
7250.15,0,0,1,1,70
1108.2,0,0,1,1,42
938.65,0,1,0,0,34
94.15,1,0,0,1,5
2088.05,1,0,0,1,25
178.7,1,0,0,1,2
5656.75,0,1,0,1,55
2317.1,1,0,0,1,21
5986.45,0,0,1,1,70
6751.35,1,0,0,1,61
3566.6,0,0,1,1,43
4889.3,0,1,0,1,47
318.1,1,0,0,1,5
1563.95,0,0,1,1,62
1430.25,1,0,0,1,16
644.35,1,0,0,1,7
372.45,1,0,0,1,14
5453.4,0,1,0,1,60
1442.6,1,0,0,0,34
5610.7,0,1,0,1,50
963.95,0,0,1,1,38
5222.3,0,1,0,1,70
3340.55,1,0,0,1,37
292.8,1,0,0,1,4
5774.55,1,0,0,1,60
4487.3,0,1,0,1,62
44.4,1,0,0,1,1
2854.95,1,0,0,1,36
905.55,0,0,1,1,44
5509.3,0,1,0,1,55
7589.8,0,0,1,1,72
229.6,0,1,0,1,12
394.1,1,0,0,0,13
89.9,1,0,0,1,1
295.95,0,1,0,1,15
5459.2,0,0,1,1,65
444.75,0,1,0,0,12
6782.15,0,0,1,1,72
6510.45,0,0,1,1,72
8476.5,0,0,1,1,72
4461.85,0,0,1,1,52
62.0,1,0,0,1,2
352.65,1,0,0,1,5
1424.9,0,0,1,1,68
6413.65,0,1,0,1,62
6309.65,0,0,1,1,72
50.8,1,0,0,1,1
5898.6,0,1,0,1,66
4719.75,0,0,1,0,72
457.3,0,1,0,1,26
5822.3,0,0,1,1,64
1463.5,1,0,0,1,20
307.4,1,0,0,1,3
2104.55,1,0,0,1,22
319.15,1,0,0,1,4
2337.45,0,0,1,0,62
104.3,1,0,0,1,5
5084.65,0,1,0,1,59
121.25,0,0,1,1,3
7015.9,0,0,1,1,72
5598.0,0,1,0,1,57
1269.1,0,0,1,1,66
3027.4,1,0,0,0,60
4634.35,0,0,1,1,45
113.95,1,0,0,0,3
1582.75,1,0,0,1,15
3077.0,0,1,0,0,51
4039.5,0,1,0,1,60
1665.2,1,0,0,1,33
1043.3,1,0,0,1,10
504.2,0,1,0,1,26
497.55,1,0,0,1,6
7511.65,0,1,0,1,67
1782.0,0,1,0,0,49
20.05,1,0,0,1,1
609.65,1,0,0,1,7
2857.6,0,1,0,1,27
3247.55,0,1,0,1,37
6215.35,1,0,0,1,63
2823.0,1,0,0,1,31
5017.9,1,0,0,1,50
2619.25,1,0,0,1,32
24.6,1,0,0,0,1
4965.1,0,1,0,1,63
2679.7,1,0,0,1,30
8310.55,0,0,1,1,71
5682.25,0,0,1,1,53
1120.95,1,0,0,1,12
4914.9,1,0,0,1,50
27.55,1,0,0,1,2
923.5,1,0,0,1,9
1625.65,1,0,0,1,17
6068.65,0,1,0,1,56
5398.6,0,0,1,1,67
918.6,1,0,0,1,9
234.85,1,0,0,1,4
1231.85,0,1,0,1,19
170.9,1,0,0,1,8
7984.15,0,0,1,1,71
688.65,1,0,0,1,10
1288.3,1,0,0,1,15
7848.5,0,1,0,1,72
267.0,0,1,0,1,12
1798.9,0,0,1,1,72
73.55,1,0,0,1,1
1643.55,1,0,0,1,23
4807.45,0,0,1,0,72
2193.0,1,0,0,1,26
2239.4,0,1,0,1,21
1505.9,0,1,0,1,60
255.35,1,0,0,1,12
1189.4,1,0,0,1,16
4786.15,0,1,0,1,63
1820.9,1,0,0,1,22
2404.15,1,0,0,1,32
205.05,1,0,0,1,3
952.3,1,0,0,1,13
7039.45,0,0,1,1,68
2538.05,0,1,0,1,30
1212.85,1,0,0,1,16
2651.1,0,0,1,1,33
1304.8,0,0,1,1,72
360.1,1,0,0,1,4
435.45,0,1,0,0,12
308.05,1,0,0,1,4
2279.0,0,0,1,1,0
434.5,1,0,0,1,6
7118.9,0,1,0,1,65
320.45,1,0,0,1,15
531.55,0,1,0,1,24
382.2,1,0,0,0,13
2001.0,1,0,0,1,24
4919.7,0,0,1,0,72
5645.8,1,0,0,1,54
215.8,1,0,0,1,3
77.6,1,0,0,1,4
2896.55,1,0,0,1,32
3395.8,1,0,0,1,35
759.35,0,0,1,1,35
85.15,1,0,0,1,2
535.55,1,0,0,1,8
1253.15,1,0,0,1,22
